title,genre,director,country,year
Мигранты (фильм),драма,Валерий Приёмыхов,СССР,1991
Мещерские (фильм),мелодрама,Борис Яшин,Россия,1995
Мешки для трупов (фильм),фильм ужасов,"Джон Карпентер,Тоуб Хупер",США,1993
"Машина, убивающая плохих",комедия,Роберто Росселлини,Италия,1952
Мешок без дна,драма с элементами сказкиартхаус,Рустам Хамдамов,Россия,2017
"Мечты сбываются (фильм, 1959)",производственный фильм,Михаил Винярский,СССР,1959
Машина войны,"комедийный фильм, боевик и военный фильм",Дэвид Мишо,США,2017
"Машина времени (фильм, 2002)","фантастика, антиутопия",Саймон Уэллс,США,2002
"Машина (фильм, 2013)","научно-фантастический фильм[…], фильм-триллер и боевик",Карадог В. Джеймс,Великобритания,2013
"Машенька (фильм, 1987)","мелодрама, экранизация",Джон Гольдшмидт,Великобритания,1987
Машина для убийств,Триллер,Дольф Лундгрен,Канада,2010
"Маша (фильм, 2020)",Драма,Анастасия Пальчикова,Россия,2020
Мачо и ботан 2,боевиккомедия криминал,Фил ЛордКристофер Миллер,США,2014
Мачо и ботан,комедиябоевиккриминал,Фил Лорд и Кристофер Миллер,США,2012
Мачеха Саманишвили (фильм),Трагикомедия,Эльдар Шенгелая,СССР,1977
"Машина (фильм, 1994)",фантастикафильм ужасовтриллер,Франсуа Дюпейрон,,1994
Маша и звери,сказка,Михаил Юзовский,Россия,1995
"Машина времени (фильм, 1960)","фантастика, приключения",Джордж Пал,США,"1960, 25 мая 1960, 17 августа 1960, 25 августа 1960 и 2 сентября 1960"
"Мачеха (фильм, 1973)",мелодрама,Олег Бондарёв,СССР,1973
Мачете убивает,боевикфантастикачёрная комедия,Роберт Родригес,США,2013
"Маша (фильм, 2004)",Комедия,Сергей Ткачёв,Россия,2004
Мачо на досуге,документальный фильмкомедиядрама,Мика Ронкайнен,,2009
"Машенька (фильм, 1942)",мелодрама,Юлий Райзман,СССР,1942
Мачете (фильм),чёрная комедиябоевиктриллерприключениякриминал,Роберт РодригесЭтан Маникис,США,2010
Мафия!,комедия,Джим Абрахамс,США,1998
"Мачеха (фильм, 1998)",драма,Крис Коламбус,США,1998
Мафия: Игра на выживание,фантастикабоевик,Сарик Андреасян,Россия,2016
Мафия убивает только летом,комедийная драма,Пьерфранческо Дилиберто,Италия,2013
"Мачеха (фильм, 1958)",драма,Абиб Исмайлов,СССР,1958
"Мафия (фильм, 1951)",Фильм нуарТриллер,Роберт Пэрриш,США,1951
"Махакаал (фильм, 1994)",ужасы,Шиам РамсейТулси Рамсей,Индия,1993
Маугли (фильм),приключенческая драма,Энди Сёркис,,2018
Маттерхорн (фильм),"драма, комедия",Дидерик Эббинге,Нидерланды,2013
Матти (фильм),"драма, фильм-биография",Алекси Мякеля,Финляндия,2006
Мацист в аду,немое кино и кинофантастика,Гуидо Бриньоне,Италия,1925
Маттео Фальконе (фильм),"короткометражный, драма",Тофик Тагизаде,СССР,1960
"Махтумкули (фильм, 1968)",фильм-биография,Алты Карлиев,СССР,1968
Матрос Чижик,драма,Владимир Браун,СССР,1955
Махорка-Муфф,короткометражный,Жан-Мари ШтраубДаниэль Юйе,Германия,1963
Матрос с «Кометы»,музыкальная комедия,Исидор Анненский,СССР,1958
Матрица: Революция,"киберпанк, постапокалиптика, научная фантастика, боевик, антиутопия, триллер",Братья Вачовски,США,2003
Мафия бессмертна,криминальная драма боевик,Леонид Партигул,Россия,1993
Матрица: Перезагрузка,научно-фантастический боевиккиберпанк,братья Вачовски,США,2003
Матрица времени,драмадетектив,Ри Руссо-Янг,США,2017
Матрица: Воскрешение,"киберпанк, постапокалиптика, научная фантастика, боевик, антиутопия, триллер",Лана Вачовски,США,2021
Матрёшка (фильм),документальный,Карин Хёрлер,Германия,2006
Матрица (фильм),"научная фантастика
киберпанк
боевик",Братья Вачовски,,1999
"Матильда (фильм, 2022)",,Мэттью Уорчас,,2022
"Матильда (фильм, 1996)","комедия, семейный фильм",Дэнни Де Вито,США,1996
"Матильда (фильм, 2017)",историческая драма,Алексей Учитель,Россия,2017
Матерь человеческая,военная драма,Леонид Головня,СССР,1975
Материнство (фильм),комедия / драма,Кэтерин Дикманн,США,2009
Мафиозо (фильм),комедия криминальный,Альберто Латтуада,Италия,1962
"Материнское поле (фильм, 1967)","драма, экранизация",Геннадий Базаров,СССР,1967
Материнский инстинкт (фильм),психологический триллер,Бенуа Дельомм,США,2024
Материк (фильм),драма,Эмануэле Криалезе,,2011
Материнская молитва,драма,Лэрри Илайкэнн,США,1995
Материнское воскресенье,драматический фильм,Эва Юссон,Великобритания,"9 июля 2021, 14 октября 2021, 24 ноября 2022, 23 декабря 2021 и 4 октября 2023"
Материалисты,романтическая комедия,Селин Сон,США,
Матвеева радость,биографияисторический фильм,Ирина Поплавская,СССР,1985
Матери Шико Хавьера (фильм),драма,Глаубер Филхо  Халдер Гомес,Бразилия,2011
Матери в танце,мелодрама,Герберт Бренон,США,1926
"Матадор (фильм, 1986)",триллер,Педро Альмодовар,Испания,1986
"Матадор (фильм, 2005)","комедия, драма",Ричард Шепард,США,2005
Мифы моего детства,трагикомический эпос,Юрий Фетинг,Россия,2005
Миф о Леониде,историческая драма,Дмитрий Долинин,СССР,1991
Мифы (фильм),комедия,Александр Молочников,Россия,2017
"Миф (фильм, 2018)",документальный,"Леонид Кантер, Иван Ясний",Украина,2018
Мифы и легенды: Новый альянс,"фэнтези, приключения, семейный",Хосе Луис Гуриди (Jose Luis Guridi),Чили,2010
"Миф (фильм, 2005)",фэнтезиприключенческий фильмбоевиккомедиядрама,Стэнли Тонг,,2005
Мистическая пятёрка,детский фильм,Роберт Винс,США,2011
"Миф (фильм, 1986)","психологическая драма, мелодрама, экранизация",Аян Шахмалиева,СССР,1986
Мистическая пицца,романтическая комедия,Доналд Петри,США,1988
"Мистификация (фильм, 2010)",криминальный фильм,Яцек Копрович,Польша,24 февраля 2010
"Мистификация (фильм, 2006)",драма,Лассе Халльстрём,США,2006
Мистериум. Охотники на фазанов,детективный триллер,Миккель Нёргор,,2014
Мистериум. Тьма в бутылке,детективный триллер,Ханс Петтер Моланн,,2016
Мистериум. Начало,детективный триллер,Миккель Нёргор,,2013
"Мистерии (фильм, 1978)",мистическая драма,Поль де Люссане,Нидерланды,1978
Мистериане,"фантастика, токусацу, космическая опера",Исиро Хонда,Япония,1957
Мистер Чудо,комедия,Энтони Мингелла,США,1993
Мистер Холмс,драматический детектив,Билл Кондон,,2015
Мистер Судьба,кинокомедия,Джеймс Орр,США,1990
Мистер Чёрч,драма,Брюс Бересфорд,США,2016
Мистер субботний вечер,комедия,Билли Кристал,США,1992
"Мата Хари (фильм, 1985)",драмаэротика,Кёртис Херрингтон,США,1985
Мистер Смерть,документальный,Эррол Моррис,,1999
Мистер Смит едет в Вашингтон,драма,Фрэнк Капра,США,1939 и 19 октября 1939
Мистер Скеффингтон,драма,Винсент Шерман,США,1944
Мистер Робинзон Крузо,комедияприключения,А. Эдвард Сазерленд,США,1932
Мечты о баскетболе,"документальный, спортивный",Стив Джеймс,США,1994
Мистер Робертс (фильм),драмакомедия,Джон ФордМервин Лерой,США,1955
Мечты идиота,комедия,Василий Пичул,,1993
Мечтая об Аргентине,драмамелодраматриллер,Кристофер Хэмптон,,2003
Мистер Фрост,драматриллерфильм ужасов,Филипп Сетбон,,1990
Мечтаю о тебе,комедия мюзиклсемейный фильм,Майкл Кёртис,США,1949
"Мата Хари (фильм, 1931)",мелодрама,Джордж Фицморис,США,1931
Мечте навстречу,фантастика,Михаил КарюковОтар Коберидзе,СССР,1963
Мечта о луне,комедия,Гастон Вель,Франция,1905
"Мечтатели (фильм, 1934)",военный фильмдрама,Давид Марьян,СССР,1934
Мечтатель (фильм),спортивный фильм и драматический фильм,Джон Гэйтинс,США,21 октября 2005 и 23 марта 2006
"Мечтать не вредно (фильм, 2005)",Комедия,Евгений Лаврентьев,Россия,2005
Мечтать и жить,драма,Юрий Ильенко,СССР,1975
"Мечтать не вредно (фильм, 1991)",комедия,Пьер Ришар,Франция,1991
"Мечтатели (фильм, 2003)",романтическая драма,Бернардо Бертолуччи,,2003
Мистер Сардоникус,Фильм ужасов,Уильям Касл,США,1961
Мечта Алины,семейный фильм,Brigitta Dresewski,Германия,2005
Мечта Кассандры,драма / триллер / криминальный фильм,Вуди Аллен,,2007
"Мечта (фильм, 1941)",Социально-психологический,Михаил Ромм,СССР,1941
Меченый атом (фильм),детектив,Игорь Гостев,СССР,1972
"Мечта (фильм, 1980)",драмамелодрама,Шакти Саманта,Индия,1980
Меченые,боевик,Вячеслав Сорокин,СССР,1991
"Меченосцы (фильм, 2011)",боевиккриминальный фильмдраматриллер,Питер Чан,,2011
Меченая женщина,криминальная драма,Ллойд Бэкон  Майкл Кертиц (в титрах не указан),США,1937
Меченосец (фильм),боевикмелодрамафантастикасупергероика,Филипп Янковский,Россия,2006
Меч Шарпа,военная драма,Том Клегг,Великобритания,1995
Меч судьбы,драма / боевик,Кихати Окамото,Япония,1966
"Меч короля Артура (фильм, 2017)",фэнтезиприключения,Гай Ричи,США,2017
"Меч короля Артура (фильм, 1995)",фэнтезиприключениясемейный,Роберт Тиннелл,,1995
Меч мечей,боевикдрама,Чэн Ган,Гонконг,1968
"Меч, обагрённый королевской кровью (фильм, 1981)",боевикдрама,Чжан Чэ,Гонконг,1981
"Меч третьего молодого господина (фильм, 2016)",боевикдрама,Дерек И,,2016
"Мечта (фильм, 2008)",драма,Ким Ки Дук,,2008
Меч Гедеона,"триллер, драма",Майкл Андерсон,Канада,1986
Меч и колдун,фантастика,Альберт Пьюн,США,1982
Меч дракона (фильм),боевик и фильм о боевых искусствах,Дэниэл Ли,Китай,2015
Меч короля,драмаисторический фильм,Николай Арсель,,2023
Меч Бусидо,"боевик, драма, исторический фильм",Цугунобу Котани,,1981
Меч и весы,драматический фильм,Андре Кайат,,1963
"Меч (фильм, 1980)",боевиктриллер,Патрик Тхам,Гонконг,1980
"Меч (фильм, 1964)","боевик, драма,",Кэндзи Мисуми,Япония,1964
Механическая сюита,комедия драма,Дмитрий Месхиев,Россия,2001
Механика счастья,мелодрама,Нерсес Оганесян Гор Саакян,СССР,1982
"Мастеровой (фильм, 1968)",драма,Джон Франкенхаймер,США,1968
"Мастерская (фильм, 2017, Франция)",драматический фильм,Лоран Канте,Франция,2017
Мастера русского балета,экранизация балета,Герберт Раппопорт,СССР,1953
Мастерские в Ла-Сьота,документальный,Луи Люмьер,Франция,1896
Мастера угрозы,"комедия, боевик",Дэниел Расков,США,1990
Мастер-палач,"исторический фильм, драма, мелодрама",Пальо Биелик,Чехословакия,1966
Мастер Z: Наследие Ип Мана,боевикбиографический фильмкриминальный фильм,Юнь Вопхин,,2018
Мастер наносит удар,боевиккомедия,Гао Баошу,Гонконг,1980
"Мастер и Маргарита (фильм, 1994)",драмамистика,Юрий Кара,Россия,1994
Мастер со сломанными пальцами,боевиккомедиядрама,Цзинь Синь,Гонконг,1979
Мастер тай-цзи,боевые искусства,Киану Ривз,,2013
Мастер перевоплощения,комедия,Перри Энделин Блэйк,США,2002
"Мастер и Маргарита (фильм, 1972)",фэнтезийный фильм и драматический фильм,Александр Петрович,,1972
"Мастер и Маргарита (фильм, 2024)",фэнтезийная драмадизельпанк,Михаил Локшин,Россия,2024
Мастер го,Фильм-биография,Тянь Чжуанчжуан,Китай,2006
"Мастер и Маргарита (сериал, 1988)",фантастика,Мацей Войтышко,Польша,1988
"Мастер (фильм, 2005)",Драма,Пётр Тшаскальский,,2005
"Мастер (фильм, 2025)",остросюжетный боевик,Дэвид Эйер,США,2025
"Мастер (фильм, 2012)","драма
драматический фильм[…]",Пол Томас Андерсон,"США
 США",2012
"Мастер (фильм, 1980)",боевиккомедия,Лу Цзюньгу,Гонконг,1980
"Мастер (фильм, 1976)",драма,Янис Стрейч,СССР,1976
"Мастер (фильм, 1966)","военный, драма",Ежи Антчак,Польша,1966
Механический мясник,"Комедия, фантастика",Луи Люмьер,Франция,1895
Массаж (фильм),триллер,Стюарт Купер,США,1993
Масло Лоренцо,драма,Джордж Миллер,США,1992
Маслобойщики (фильм),семейный фильм / драма,Брюс Нейбаур,США,1992
Маски (фильм),триллер детектив,Клод Шаброль,Франция,1987
Масло и вода,драматический фильм,Дэвид Уорк Гриффит,США,1913
"Маскарад (фильм, 2022)","драматический фильм, комедийный фильм и криминальный фильм",Николя Бедос,Франция,2022
Маскарадная маска,комедия,Чарльз Чаплин,США,1914
Маска Фу Манчу,фантастикаприключенияужасы,Чарлз БрэбинЧарльз Видор (не указан),США,1932
"Маскарад (фильм-балет, 1985)",фильм-балетдрамаэкранизация,Феликс Слидовкер,СССР,
"Маскарад (фильм, 1941)",драма,Сергей Герасимов,СССР,1941
Маска ужаса,авангардфильм ужасов,Абель Ганс,Франция,1912
"Мастер (фильм, 1992)",боевиккомедия,Цуй Харк,Гонконг,1992
Маска Сатаны,ужасымистика,Марио Бава,Италия,1960
Маска призрака,фильм ужасов,Жан Пеллерин,Канада,1998
"Маска Красной смерти (фильм, 1990)",триллер,Алан Биркиншоу,,1990
"Маска Красной смерти (фильм, 1964)",готический фильм ужасов,Роджер Корман,Великобритания,1964
"Маска Красной смерти (фильм, 1989)",триллерфильм ужасов,Ларри Брэнд,США,1989
Маска Зорро,"вестерн, супергеройский фильм, фильм плаща и шпаги",Мартин Кэмпбелл,США,1998
"Маска Красной смерти (мультфильм, 1969)",,Manfredo ManfrediPavao Štalter,,1971 и 1969
Маска души (фильм),драма,Андрей Андреев,Российская империя,1916
Маска Димитриоса,нуардетектив,Жан Негулеско,США,1944
"Маска (фильм, 1938)",комедиятрагикомедия,Сергей Сплошнов,СССР,1938
"Маска (фильм, 1994)","комедия, фантастика, криминал, супергероика",Чак Рассел,США,1994
"Маска (фильм, 1985)",драма,Питер Богданович,США,1985
Масарик (фильм),драма исторический биографическийпсихологический,Юлиус Шевчик,,2016
Марюс,,"Йонас Пакулис, Алюс Янчорас, Марионас Гедрис",СССР,1990
"Маскарад (фильм, 1970)","драма, эротика",Боштиан Хладник,СР Словения,1970
Маск (фильм),документальный фильм,Алекс Гибни,,
Масакра,мистика,Андрей Кудиненко,Беларусь,2010
Маска обезьяны,детективный фильмтриллер,Саманта Лэнг,,2000
Маршрут построен,фильм ужасовфэнтези,Олег Асадулин,Россия,2016
Марья-искусница,Сказка,Александр Роу,СССР,1959
Маршо (фильм),драмавоенный фильм,Мурад Мазаев,,2003
Марэбито,J-Horror,Такаси Симидзу,Япония,2004
Маршалл (фильм),биографияюридическая драма,Реджинальд Хадлин,США,2017
Маршал революции,фильм-биографияисторический фильм,Сергей Линков,СССР,1978
Марш! Марш! Тра-та-та!,"комедия, памфлет",Раймондас Вабалас,СССР,1964
Марш утренней зари,"комедия, музыкальное кино, историческое кино",Роман Качанов,Россия,2022
Марш-бросок (фильм),боевиквоенная драма,Николай Стамбула,Россия,2003
Марш славянки,драма,Наталья Пьянкова,Россия,2002
Марш на Дрину (фильм),военныйдрамаисторический,Живорад Митрович,Югославия,1964
Марш к фюреру,политпропаганда,не указан,Федеративная Республика Германия,1940
Марчелло Мио,комедийный фильм,Кристоф Оноре,,2024
Марыся и Наполеон,комедия,Леонард Бучковский,Польша,1966
Мистер Питкин на эстраде,кинокомедия,Роберт Эшер,Великобритания,1959
Мистер Простак,Фильм нуарМелодрама,Гордон ДугласГенри Левин,США,1949
Мистер Поттс едет в Москву,"комедия, шпионский фильм",Марио Зампи,Великобритания,1952
Мистер Питкин: вверх тормашками,Кинокомедия,Джон Пэдди Карстейрс,Великобритания,1956
Мистер Питкин в тылу врага,комедия,Джон Пэдди Кастэйрс,Великобритания,1958
Мистер Пип,драма,Эндрю Адамсон,,2012
Маршал Финляндии (фильм),Биография,Гилберт К. Лукалиа,,2012
Мистер няня,боевиккомедиясемейный фильм,Майкл Готтлиб,США,1993
Мистер Нокаут,"драматический фильм, биографический фильм и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}фильм о боксе[вд]",Артём Михалков,Россия,2022
Мистер Миллиард,приключенческий фильм,Джонатан Каплан,США,1977
Мистер мама,комедиядрама,Стэн Дрэготи,США,1983
Мистер Магу,комедия,Стенли Тонг,США,1997
Мистер Кульман с Дикого Запада,комедия,Йорма Нортимо,Финляндия,1952
Мистер Лонг,драматический фильм,Сабу,,13 февраля 2017 и 14 сентября 2017
Мистер Индия,драмафантастикакомедия,Шекхар Капур,Индия,1987
Мистер Кори,МелодрамаФильм нуар,Блейк Эдвардс,США,1957
Мистер Икс,"музыкальный фильм, мелодрама",Юлий Хмельницкий,СССР,1958
Мистер идеал,кинокомедия,Дэвид Моррис  Жак Моррис,Великобритания,2009
Марш для императора,мелодрама,Эрнст Маришка,Австрия,1955
"Мистер и миссис Смит (фильм, 1941)",мелодрамакомедия,Альфред Хичкок,США,1941 и 31 января 1941
Мистер и миссис Кханна,комедия,Прем Сони,Индия,2009
"Мистер и миссис Смит (фильм, 2005)",боевикмелодрамакомедия,Даг Лайман,США,2005
Мистер Дидс переезжает в город,комедиясоциальная драма,Фрэнк Капра,США,1936
Мистер Джонс,драма / мелодрама,Майк Фиггис,США,1993
Мистер и миссис Бридж,драма,Джеймс Айвори,,1990
Мистер Ганджубас,"драма, комедия",Бернард Роуз,Великобритания,2010
Мистер Одиночество,комедия / драма,Хармони Корин,,2007
Мистер Бин на отдыхе,комедия,Стив Бенделак,,2007
Мистер Вудкок,комедия,Крейг ГиллеспиДэвид Добкин,США,2007
Мистер Бёртон,биографический фильм,,Великобритания,2025
Мистер Бин (фильм),комедия,Мэл Смит,,1997
Мистер Блэндингз строит дом своей мечты,комедийный фильм и экранизация литературного произведения[вд],Г. К. Поттер,США,1948
Мистер бейсбол,комедиямелодрамаспортивный фильм,Фред Скеписи,,1992
Мистер 880,"романтическая комедия, мелодрама",Эдмунд Гулдинг,США,1950
Мистер Аркадин,триллер,Орсон Уэллс,,1955
Мистер Крутой,"экшн, трагикомедия",Саммо Хун,Гонконг,1997
Миссия: Неадекватна,кинокомедия,Ларри Чарльз,США,2016
Мистер «Всё исправим»,романтическая комедия,Дэрин Фиорила,США,2006
Миссия правосудия,боевик,Стив Барнетт,США,1992
Миссия: Красный,"комедийный боевик, приключенческий фильм и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}рождественский фильм[вд]",Джейк Кэздан,США,"7 ноября 2024, 8 ноября 2024 и 15 ноября 2024"
Миссия ниндзя,боевик драма,Матс Хельге,,1984
Миссия невыполнима: Протокол Фантом,шпионский боевик,Брэд Бёрд,США,2011
Миссия невыполнима: Смертельная расплата,шпионский боевик,Кристофер Маккуорри,США,2023
Миссия невыполнима: Последняя расплата,шпионский боевик,Кристофер Маккуорри,США,2025
Миссия невыполнима: Последствия,шпионбоевиктриллерприключения,Кристофер Маккуорри,США,2018
Миссия невыполнима: Племя изгоев,шпионский боевик,Кристофер Маккуорри,США,2015
Миссия невыполнима 3,шпионский боевик,Дж. Дж. Абрамс,США,2006
Миссия невыполнима 2,шпионский боевик,Джон Ву,США,2000
Миссия на Марс,фантастикаприключениятриллердрама,Брайан Де Пальма,США,2000
Миссия невыполнима (фильм),шпионский боевик,Брайан Де Пальма,США,1996
Миссия милосердия: спасение рейса № 771,Драма,Роджер Янг,,1993
Механика головного мозга,документальный фильм,Всеволод Пудовкин,СССР,1926
Механик: Воскрешение,боевиктриллер,Деннис Ганзель,,2016
"Механик (фильм, 2005)","боевик, драма",Дольф Лундгрен,,2005
"Механик (фильм, 2011)","боевик, драма, триллер",Саймон Уэст,США,2011
Мефисто,драма,Иштван Сабо,,1981
"Механик (фильм, 1972)","триллер, боевик",Майкл Уиннер,США,1972
"Механизатор (фильм, 1963)",Комедийный фильм-антология,Марино Джиролами,,1963
Мех (фильм),драма / биография,Стивен Шейнберг,США,2006
Метрополис,антиутопическая драма,Фриц Ланг,Веймарская республика,1927
Методы доктора Кэри,детектив,Блейк Эдвардс,США,1972
"Метро (фильм, 2013)",драматриллерфильм-катастрофа,Антон Мегердичев,Россия,2013
"Метро (фильм, 2003)","боевик, драма",Пэк Унхак,Республика Корея,2003
Метро Манила (фильм),драмакриминальный,Шон Эллис,,2013
Метод Грёнхольма,драматриллер,Марсело Пиньейро,,2005
Метод (2023),"драма, короткий метр",Джексон Мартини,,2023
Метод (фильм),Психологический триллер,Дункан Рой,,2004
Метка Свистуна,Криминальный фильмФильм нуар,Уильям Касл,США,1944
"Метеор (фильм, 1979)","боевик, научно-фантастический фильм, приключенческий фильм, фильм-катастрофа и драматический фильм",Рональд Ним,США,"1979, 21 февраля 1980 и 19 октября 1979"
Метеора (фильм),драма,Спирос Статулопулос,,2012
Метеориты (фильм),научно-популярный фильм,Павел Клушанцев,СССР,1947
Метеоидиот,мелодрама,Нана Джорджадзе,,2008
"Метаморфозы (фильм, 2007)",фильм ужасов,Енё Ходи,,2007
Метель (фильм),драма,Владимир Басов,СССР,1964
Метеор-убийца,боевиктриллер,Ло Вэй,,1976
Месяц май,"мелодрама, комедия",Григорий Липшиц,СССР,1965
Месяц длинных дней,драма,Сергей Евлахишвили,СССР,
Месяц август,мелодрама,Вадим Михайлов,СССР,1971
Металлический шторм: Крах Джаред-Сина,фантастикаприключенческий фильмбоевик,Чарлз Бэнд,США,1983
Месяц у озера,романтическая комедия и драматический фильм,Джон Ирвин,,1995
Месье Рипуа,драма,Рене Клеман,,1954
Метод профессора Степанова,"Документальное кино, Короткометражное кино",С.И. Якушев,СССР,1959
Месье Азнавур,"биографический фильм, драматический фильм и музыкальный фильм",Фабьен МарсудMehdi Idir,Франция,"6 сентября 2024, 12 сентября 2024, 23 октября 2024 и 14 ноября 2024"
Месье Венсан,историческая драма  фильм-биография,Морис Клош,Франция,1947
Месье Ибрагим и цветы Корана,драма,Франсуа Дюпейрон,Франция,2003
Месье Верду,криминальнаятрагикомедия,Чарльз Чаплин,США,1947
Месье Кляйн,Детективкриминальная драма,Джозеф Лоузи,,1976
"Месье Ленуар, который…",Детектив,Александр Орлов,СССР,1983
Месье (фильм),комедия,Жан-Поль Ле Шануа,Франция,1964
Месть шута,драматический фильм,Дэвид Уорк Гриффит,США,1909
Месть человека-невидимки,фильм ужасовфантастический фильм,Форд Биби,США,1944
Месть Твари,фантастикаужасы,Джек Арнольд,США,1955
Месть Франкенштейна,Ужасы,Теренс Фишер,Великобритания,1958
Набережная Орсе (фильм),комедия,Бертран Тавернье,Франция,2013
Набег Ульзаны,вестерн и военный фильм,Роберт Олдрич,США,1972
"Набат (фильм, 1983)",боевик,Владимир Златоустовский,СССР,1983
Месть степфордских жён,фантастика / триллер,Роберт Фуэст,США,1980
"Набат (фильм, 1917)",драма,Евгений Бауэр,Россия,1917
Набалдашник и метла,приключенческий фильмсемейный фильмфэнтезимузыкальный фильм,Роберт Стивенсон,,1971
"Месть странницы (фильм, 2012)",Драма,Хайнсйорг Турн,,2012
Наапет (фильм),"драма, экранизация",Генрих Малян,СССР,1977
Молодость без старости,фильм-сказка,Элизабета Бостан,Румыния,1968
Молодость без молодости,драма,Фрэнсис Форд Коппола,,2007
Месяц в деревне (фильм),мелодрама,Пэт О’Коннор,Великобритания,1987
Месть: История любви,триллер,Джонни Мартин,США,2017
Молодость (фильм),драма,Паоло Соррентино,,2015
Молодой человек,комедия,Александр Фомин,Россия,2022
"Молодость (фильм, 2022)",комедиядрама,Дмитрий Давыдов,Россия,2022
Молодой Шерлок Холмс,приключенческий детектив,Барри Левинсон,США,1985
Молодой Франкенштейн,комедия,Мел Брукс,США,1974
Молодой Хоук,драматический фильм,Делмер Дэйвс,США,1964
Молодой Уинстон,приключенческий биографический военный драма,Ричард Аттенборо,,1972
Ответ знает только ветер,"триллер, экранизация",Альфред Форер,,1974
Молодой Тосканини,фильм-биография  музыкальный фильм  драма,Франко Дзеффирелли,,1988
Молодой раджа,приключенческий фильмдрамамелодрама,Фил Розен,США,1922
Молодой папа (фильм),драматический фильм и биографический фильм,Абель Феррара,,2 сентября 2022
Молодой лейтенант,драма,Ксавье Бовуа,Франция,2005
Молодой лес,драма,Юзеф Лейтес,Польша,1934
Молодой Карл Маркс,историческая драма,Рауль Пек,,2017
Молодой Годар,драмабиография,Мишель Хазанавичус,Франция,2017
Молодой и невинный,детектив,Альфред Хичкок,Великобритания,1937
Молодой Ахмед,драматический фильм,Жан-Пьер ДарденнЛюк Дарденн,,2019
Молодой Адам (фильм),"драма, триллер",Дэвид Маккензи,,2003
Молодой Александр Великий,исторический фильмбиография,Джалал Мерхи,,2010
Молодожён,Киноповесть,Валерий Исаков,СССР,1964
Молодожёны (фильм),Романтическая комедия,Шон Леви,США,2003
Молодое неистовство,порнографический фильм,Газзман,Великобритания,2014
Молодо-зелено,мелодрама,Константин Воинов,СССР,1962
Молодой мастер,боевиккомедия,Джеки Чан,Гонконг,1980
Молодецкие времена,драматический фильм,Эдуард Захариев,,1977
"Молодая кровь (фильм, 2015)",драматический фильм и история взросления,Эмманюэль Берко,Франция,2015
"Молодая кровь (фильм, 2014)",триллербоевик,Джулиус Эйвери,,2014
Молодая жена,мелодрама,Леонид Менакер,СССР,1978
Молодой Айвенго,приключенческий фильмисторический фильм,Ральф Л. Томас,,
Молодая женщина,"драма, комедия",Леонор Серай,Франция,2017
Молодая Екатерина,фильм-биографиядрама,Майкл Андерсон,,
Молодая гвардия (фильм),исторический драмавоенный фильм,Сергей Герасимов,СССР,1948
Молодая Виктория,"биографический фильм
драма
исторический фильм",Жан-Марк Валле,,2009
Молода и прекрасна,"мелодрама
Музыка к фильму",Франсуа Озон,Франция,2013
Молния кунг-фу,"боевик, драма",Куай Чихун,Гонконг,1980
Молния бьёт дважды,нуар,Кинг Видор,США,1951
"Молния (фильм, 1952)",фильм-драма,Микио Нарусэ,Япония,1952
"Молния (фильм, 1950)",драма / боевик,Стюарт Хейслер,США,1950
Молль Флендерс (фильм),историческая драма,Пен Деншэм,,1996
Молниеносные превращения,фантастика,Жорж Мельес,Франция,1899
Молодой мистер Линкольн,драмабайопик,Джон Форд,США,1939 и 30 мая 1939
Молли и Джина,драма,Пол Ледер,США,1994
Молитвы за Бобби,драма / биография,Рассел Малкэхи,США,
Молли (фильм),романтическая комедия и драматический фильм,Джон Дайган,США,1999
Молитва роллеров,боевик / драма,Рик Кинг,,1991
Молитва о гетмане Мазепе,исторический фильм,Юрий Ильенко,Украина,2001
Молитва (фильм),драматический фильм,Седрик Кан,Франция,21 марта 2018
Мартовские иды (фильм),триллер,Джордж Клуни,США,2011
Мартын Боруля (телеспектакль),"фильм-спектакль, драма, комедия, экранизация","Алексей ШвачкоГнат Юра,",СССР,1954
Мартин Чезлвит (телесериал),многосерийный фильм,Педр Джеймс,Великобритания,1994
"Мартовские коты (фильм, 2001)",комедия,Грегори Порье,США,2001
"Мартин Иден (фильм, 2019)",драма,Пьетро Марчелло,,2019
Мартин Иден (телеспектакль),"экранизация, драма, мелодрама",Сергей Евлахишвили,СССР,
"Молодая кровь (фильм, 1986)",драмаспорт,Питер Маркл,США,1986
Марти (фильм),мелодрама,Делберт Манн,США,1955
Марти Суприм,драматический фильм,Джош Сафди,США,
Мартин (фильм),фильм ужасов,Джордж Ромеро,США,1976
Мартен Руманьяк,криминальный фильмдрамамелодрама,Жорж Лакомб,Франция,1946
"Марта, Марси Мэй, Марлен",драма триллер,Шон Дуркин,США,2011
